title	text
hanok traditions inspire modern korean design	(cnn south korea may be known for its sharp focus on the new but architects and their increasingly sophisticated clients are looking to the past for inspiration once a familiar
marketplace middle east	our terms of service and privacy policy have changed by continuing to use this site you are agreeing to the new privacy policy and terms of service.
critics abound for kelly interview with jones	chat with us in facebook messenger find out what's happening in the world as it unfolds.
concussion protocols not always followed at 2014 world cup study says	(cnn more than 3 billion people around the world tuned in to watch soccer's 2014 fifa world cup during which there were 81 head collisions and only 15 of those
trump continues to take aim at obama legacy	president trump is unloading a barrage of attacks on barack obama questioning his motivations in the russia drama and taking aim at his political legacy cnn's jason carroll reports.
a catholic reads the bible week 43	(cnn my father was known for his dry sense of humor one day my cousin did something of which my deceased grandmother would not have approved my father looked at
it's not over veterans waiting months for appointments	los angeles cnn thousands of veterans who are patients at the va greater los angeles healthcare system have been waiting months just for an appointment cnn has learned what's more
going for broke at bonneville with speed king's son	bonneville speedway utah cnn wanna go for a ride? the speed king's son poses the question as the early dawn paints pastels along the horizon and sends light dancing on
7 islands perfect for day trips cnn.com	laura kiniry cnn Ä published 26th june 2017 (cnn Ä we all love island getaways but not everyone wants to plan their entire vacation around a remote resort thankfully there
art basel the most provocative film festival of 2017?	photos cnn style's a-z of film hide caption 1 of 27 photos cnn style's a-z of film adam stockhausen Ä the last three years have been profitable for production designer
michael pollan really wants you to cook	(cnn michael pollan has one request can we please get back in the kitchen in his recently released netflix series cooked, pollan tells the story of cooking and how it
on the front lines of russia's staggering hiv epidemic	on a friday night the mother of two with a shock of bright pink hair stands outside a 24-hour pharmacy in a leafy moscow neighborhood she cheerfully offers plastic bags
5 american muslims on fear and faith	(cnn in a time of terrorism suspicion and doubt have put a sharp focus on american muslims after violent attacks rocked paris san bernardino california and many other places around
reality winner case accused leaker's trial set for october 23	story highlights federal judge brings in official to help lawyers with classified material in case reality winner wrote in farsi in one confiscated notebook prosecutors say augusta georgia cnn among
prada is selling a paper clip for 185 and people aren't taking it well	story highlights prada's money clip is a 185 sterling silver paper clip basically for that price you could score 13,300 regular paper clips instead (cnn with a spare 185 laying
rapamycin could make your dog live longer	see momo run see momo run faster farther and with far more vigor energy and youthfulness his owners say now that he's taking a drug meant for humans with cancer
dna discovery reveals relatives of ancient egyptians	(cnn ancient egyptians and their modern counterparts share less in common than you might think that is at least genetically a team of scientists have found researchers from the university
pakistan fuel tanker truck explosion kills at least 153	karachi pakistan cnn at least 153 were killed sunday when they rushed to collect leaking fuel from a crashed tanker in bahawalpur eastern pakistan before it suddenly exploded the truck
trump's emerging plan for afghanistan breaks with obama approach	peter bergen is cnn's national security analyst a vice president at new america and a professor of practice at arizona state university he is the author of united states of
national cathedral to remove confederate symbols	washington cnn leaders at the washington national cathedral have voted unanimously to remove confederate battle flags from stained-glass windows memorializing confederate generals robert e lee and thomas stonewall jackson the
the secret costs of islamophobia	"(cnn with adele's song all i ask playing in the background a maryland teenager opened her computer and wrote an emotional letter to president barack obama ""i am an american"
bmw adding 1,000 jobs at south carolina plant	bmw is adding 1,000 jobs at a plant in south carolina its largest production facility in the world the german car company announced monday that it will invest 600 million
help refugees survive the syrian conflict	story highlights the syrian people need help with food shelter and medical aid thousands of people have died (cnn in 2011 more than 3 million people lived in the syrian
for gop health care is a marathon opinion)	lanhee j chen is the david and diane steffy research fellow at the hoover institution at stanford university he served as the policy director for mitt romney's 2012 presidential campaign
house budget on hold over cuts to mandatory spending	(cnn the house budget committee is putting its budget markup on hold as conservatives and moderates in the republican conference are divided over how the budget would reduce mandatory spending
dead butt syndrome how to get your rear in gear	story highlights dead butt syndrome develops when the gluteus medius muscle stops firing correctly it can lead to lower back pain and hip pain as well as knee and ankle
