title	text
how to survive the blockbuster summer travel season	to keep abreast of the situation you can follow homeland security on twitter at dhsgov and the transportation security administration at tsa for questions about anything you're considering taking onto
the new york times	china is the planet's most populous country and second largest by land mass its civilization is one of the world's oldest and it has maintained an advanced economy for two
would you trust tom selleck with your life savings?	actors and singers of a certain age tend to be the ones who make the grade and there seems to be a certain sameness to the products they pitch blythe
crossword-solving a search for connections and answers	human brains are hard-wired to fill in blanks when they see them, said helen r friedman a clinical psychologist in st louis ��in difficult times when life begins to feel
photographing culture and traditions in communities of color	frank stewart and john simmons forged a friendship as teenagers on chicago's south side in the mid-1960s sharing a love for jazz and the visual arts they also discovered photography june 16 2017
how governors from both parties plotted to derail the senate health bill	more than half a dozen republican governors including several from states with republican senators expressed either grave reservations or outright opposition to the bill while democrats have been unanimous in
vote delayed as g.o.p struggles to marshal support for health care bill	after meeting with president trump at the white house mr mcconnell told reporters that if republicans could not come to an agreement they would be forced to negotiate a deal
first public showing of monet rodin and maillols from gurlitt trove	until now only four restituted works have been publicly viewed the remaining works from mr gurlitt's munich apartment and summer home in salzburg austria have been displayed only in photographs
who needs the tonight show' jay leno still cares about tonight's show	mr leno spoke further about his life after late night and challenges of being a political joke-teller in a polarized environment these are edited excerpts from that conversation what is
the detective was a performance artist the evidence is now a show.	ms kobayashi also wanted to make theatergoers feel part of the discovery process ��i had the opportunity to listen to the wire hundreds of times but i wanted a person
review in okja, a girl and her pig take on the food industrial complex	photo okja is a most remarkable pig as big as a medium-sized elephant with a snout that looks more canine than porcine she is slobbery and sometimes flatulent but also
a quest to save baby kangaroos on a lonely australian highway	it is a 24-hour-a-day seven-day-a-week commitment basically, mr brennan-kuss 68 said of the couple's volunteer and donation-supported efforts to save orphaned joeys each rescue is bottle-fed every few hours with
anytown u.s.a in saudi arabia	ayesha malik had a pretty idyllic childhood she spent her days biking down tree-lined streets past green lawns and modest houses going to softball practice it would have been fairly
vote delayed as g.o.p struggles to marshal support for health care bill	after meeting with president trump at the white house mr mcconnell told reporters that if republicans could not come to an agreement they would be forced to negotiate a deal
how a crossword is made	playlist up next in crosswords
u.k orders inquiry into cladding after grenfell tower fire	whirlpool which in 2014 acquired the manufacturer of the refrigerator that started the fire has urged owners of the fridge model to check their units photo the human toll of
opinion video channel	9 opinion never trump. but then what?
mcconnell's reputation as a master tactician takes a hit	ms murkowski raised concerns on several levels she expressed worries about soaring health care costs in rural areas about women's access to health care if planned parenthood were defunded and
dhahran commissary in dhahran camp a gated community in saudi arabia that	after a century syrian refugees return to armenia a century ago their ancestors sought shelter in syria after escaping the genocide perpetrated by the ottoman turks now syrian armenians reverse
whimsical celebrity couple	photo wednesday puzzle a short one today and i hope to be back in full force for the thursday puzzle welcome back david kwong today's theme quip theme today
gay life in new york between oppression and freedom	after a century syrian refugees return to armenia a century ago their ancestors sought shelter in syria after escaping the genocide perpetrated by the ottoman turks now syrian armenians reverse
carbon in atmosphere is rising even as emissions stabilize	the network is complete enough to give a clear picture of the overall global trends in industrial gases in the air scientists say but it is too sparse to give
can trump compete with obama on cuba?	photo cambridge mass ��effective immediately i am canceling the last administration's completely one-sided deal with cuba. thus said president trump on june 16 in miami to wildly enthusiastic applause
the weird mystic pull of southwest england	totnes and dartington during the 85-mile drive southwest to totnes from glastonbury somerset's plains and soft hills gave way to something wilder more wooded more forbidding before hitting the town
opponents of health law repeal vow to keep pressure on over recess	the bill being delayed is a sign that mcconnell and the leadership is really committed to making this happen, said lee storrow a national advocacy coordinator with the american heart
what we're reading	new york times reporters and editors are highlighting great stories from around the web you can receive what we're reading by email and let us know how you like it
black and white and orange all over	photo wednesday puzzle as an ophthalmologist bruce haight is concerned with people's vision so it's really no surprise that he likes to add visual hints to his grids today's
supreme court ruling could shape future of school choice	in the trinity opinion chief justice john g roberts jr. writing for the majority held that the missouri ruling against aiding the church ��expressly discriminates against otherwise eligible recipients by
capturing inner light in photos of yoga masters	when did yoga get so big for the third international yoga day yes the united nations has given it a day june 21 india where the ancient discipline
photographing culture and traditions in communities of color	frank stewart and john simmons forged a friendship as teenagers on chicago's south side in the mid-1960s sharing a love for jazz and the visual arts they also discovered photography
firefighters battled a devastating ��fire tornado, as one resident called it on monday	after a century syrian refugees return to armenia a century ago their ancestors sought shelter in syria after escaping the genocide perpetrated by the ottoman turks now syrian armenians reverse
margaux fragoso memoirist who wrote hauntingly of sexual abuse dies at 38	her memoir was eight years in the making she had previously published a number of poems and short stories and when it was released in 2011 it was
variety cryptic crossword	roman numeral use numbers in clues sometimes represent letters in the answers by reading them as the roman numerals they represent advertisement continue reading the main story � 4d ��possibly
an iraqi special forces soldier looked out at islamic state positions a photographer	after a century syrian refugees return to armenia a century ago their ancestors sought shelter in syria after escaping the genocide perpetrated by the ottoman turks now syrian armenians reverse
trump campaign chief's firm got 17 million from pro-russia party	the party of regions employed mr manafort to help rebrand mr yanukovych and his party which was long known as tilting toward russia as modernizers favoring closer ties to the
u.k orders inquiry into cladding after grenfell tower fire	whirlpool which in 2014 acquired the manufacturer of the refrigerator that started the fire has urged owners of the fridge model to check their units photo the human toll of
how governors from both parties plotted to derail the senate health bill	more than half a dozen republican governors including several from states with republican senators expressed either grave reservations or outright opposition to the bill while democrats have been unanimous in
california today surf sun and bacteria	but winter was a different story as record rainfall swept through the state's cityscapes and pushed billions of gallons of runoff out to sea water quality plummeted advertisement continue reading
a costly retraction for cnn and an opening for trump	by the afternoon mr trump's deputy press secretary sarah huckabee sanders was on live television scolding the white house press corps over the retraction even urging americans to watch a
the new york times	photo saturday puzzle if you're gobsmacked by this meaty saturday puzzle come sit right here by me stu ockman isn't wildly prolific not that there's anything wrong with that)
the new york times	photo saturday puzzle yesterday we talked about the difference between constructing a themed versus a themeless crossword and today we have a puzzle that is not only a very
slow-roasted cherry tomatoes with basil oil recipe	when you roast cherry tomatoes they caramelize and become even sweeter this dish was inspired by a huge pile of roasted red and yellow cherry tomatoes that a friend served
what do we have a government for?	my second thought is that we have to learn from the tragedy but keep it in its right proportions as the article notes about 350 people die in fires in
from worse to bad on health care	but stinginess is still the essential problem for the senate's alternative high-deductible insurance plans make less sense the poorer you get which is why they should ideally be encouraged from
dallas schools long segregated charge forward on diversity	two years ago under mr hinojosa's predecessor the dallas schools set a goal of starting more than 35 new schools by 2020 through this effort mr hinojosa hopes to reverse
review in baby driver, it's kiss kiss zoom zoom	photo in ��baby driver, the director edgar wright is out to show you a most excellent time he's never been one of those filmmakers who expect you to be blinded
3 chicago officers charged with conspiracy in laquan mcdonald case	the officers who are scheduled for arraignments next month were not taken into custody and representatives for them could not be reached leaders of chicago's fraternal order of police the
syria india cnn your morning briefing	at least nine european countries have been targeted in the latest hacking which one security researcher called ��an improved and more lethal version of wannacry. here's what we know so
the proverbial rolling stone	photo tuesday puzzle now that we've warmed up with the monday puzzle let's keep our momentum going fortunately today's constructor lynn lempel is known for her smooth puzzles that
will shortz everything you wanted to know about crossword puzzles	photo the times's crossword editor will shortz has been puzzling readers since 1993 the world's only academic enigmatologist mr shortz designed his own major at indiana university and has a
tips for creating a city garden	photo with a little planning and dedication it's possible to turn even the dreariest outdoor space into an urban retreat whether you have a big backyard or a tiny balcony
theater jobs skew white and male study finds	on broadway and in national tours where salaries are highest women had 35 percent of the principal roles in plays and 42 percent of principal roles in musicals and 37
heard of the jimmys it's the tonys for teenagers	one contestant sky nathan frank 17 who attends the san diego school of creative performing arts said that meeting mr platt was one of the highlights of his week ��being
china is among worst human trafficking offenders state dept says	ending human trafficking is among the top priorities of the trump administration, ivanka trump the president's daughter and a key adviser said in an event held tuesday morning at the
hate the beach these getaway options are for you	advertisement hate the beach these getaway options are for you sick of the urban sprawl and unrealistic prices in the hamptons dreading another disappointing long weekend on the jersey shore
creating a garden oasis in the city	outdoor space in new york city is on many buyers wish lists but there just isn't enough to go around and a lot of what is available isn't that usable
trump campaign chief's firm got 17 million from pro-russia party	the party of regions employed mr manafort to help rebrand mr yanukovych and his party which was long known as tilting toward russia as modernizers favoring closer ties to the
raising of spirits	photo wednesday puzzle upon my word i had fun figuring out today's puzzle by midweek there's an expectation that either the theme or the fill entries or both will
the senate's secretly bipartisan health bill	the senate bill replaces the a.c.a.'s medicaid expansion with a robust system of tax credits for which everyone under the poverty line is eligible under obamacare you could enroll in
the austin artist making covetable collages	photo on a hot and humid monday morning in austin tex. the artist claire oswalt is eager to give a tour of the charles moore foundation where she rents a
subway derailment in manhattan injures dozens	one passenger aboard the southbound a train michelle ayoub said she was afraid she would die when the train suddenly lost control as it approached the 125th street station she
sarah palin sues new york times claiming editorial defamed her	photo sarah palin former vice-presidential candidate filed a defamation lawsuit against the new york times company on tuesday saying the newspaper had published a statement about her in a recent
the lab says it's cancer but sometimes the lab is wrong.	ultimately he had his prostate removed ��i said mistakes happen,' mr karman said they may be happening more often than doctors realize there is no comprehensive data on how often
dealing with disabilities but no longer invisible	andres millan spent two years traveling around bogotá colombia and its environs photographing people whose mental health issues or physical limitations kept them at home within cramped apartments where living
a bygone era of big city life	
michael nyqvist swedish actor who played villain in john wick, dies at 56	photo michael nyqvist a swedish actor who starred in the original ��the girl with the dragon tattoo movies and portrayed menacing villains in ��john wick and other hollywood thrillers died
romance war survival a correspondent looks back on his experience in east africa	these moments among the brightest memories of my decade-plus as the times's correspondent in east africa which came to an end this week) never made it into a news story
gay life in new york between oppression and freedom	
anytown u.s.a in saudi arabia	ayesha malik had a pretty idyllic childhood she spent her days biking down tree-lined streets past green lawns and modest houses going to softball practice it would have been fairly
review broadchurch ends its run as entertaining and moving as ever	photo gannon and friday morse and lewis briscoe and green hardy and miller may not have the name recognition of those storied television crime-fighting partnerships but in just two seasons
justin trudeau's sock diplomacy	photo the first time could have been chalked up to charming idiosyncrasy the second seemed like an effort to bring some levity to a complicated situation but the third and
edwidge danticat wrestles with death in life and in art	this book is a kind of prayer for her mother an act of mourning and remembrance a purposeful act of grieving it's also a book about how danticat and
